Practice,Summary Account,Period,Sum of USD Current Year Rate
FS Practice,Bonus (Firm Perf.),11,"7,623"
FS Practice,Bonus (Firm Perf.),12,"8,300"
FS Practice,Bonus (Individual Perf.),1,"50,890"
FS Practice,Bonus (Individual Perf.),2,"53,435"
FS Practice,Bonus (Individual Perf.),3,"16,243"
FS Practice,Bonus (Individual Perf.),4,"56,906"
FS Practice,Bonus (Individual Perf.),5,"78,441"
FS Practice,Bonus (Individual Perf.),6,"65,419"
FS Practice,Bonus (Individual Perf.),7,"66,692"
FS Practice,Bonus (Individual Perf.),8,"58,538"
FS Practice,Bonus (Individual Perf.),9,"38,968"
FS Practice,Bonus (Individual Perf.),10,"48,063"
FS Practice,Bonus (Individual Perf.),11,"44,102"
FS Practice,Bonus (Individual Perf.),12,"88,728"
FS Practice,Bonus (Signing),3,145
FS Practice,Bonus (Signing),5,194
FS Practice,Bonus (Signing),6,97
FS Practice,Bonus (Signing),7,97
FS Practice,Bonus (Signing),8,97
FS Practice,Bonus (Signing),9,97
FS Practice,Bonus (Signing),10,97
FS Practice,Bonus (Signing),12,759
FS Practice,Fringe / Benefits,1,"-12,565"
FS Practice,Fringe / Benefits,2,"60,936"
FS Practice,Fringe / Benefits,3,"45,031"
FS Practice,Fringe / Benefits,4,"57,734"
FS Practice,Fringe / Benefits,5,"43,760"
FS Practice,Fringe / Benefits,6,"57,011"
FS Practice,Fringe / Benefits,7,"47,393"
FS Practice,Fringe / Benefits,8,"20,103"
FS Practice,Fringe / Benefits,9,"161,820"
FS Practice,Fringe / Benefits,10,"6,719"
FS Practice,Fringe / Benefits,11,"42,610"
FS Practice,Fringe / Benefits,12,"35,508"
FS Practice,Other Compensation,3,"104,300"
FS Practice,Other Compensation,4,"127,646"
FS Practice,Other Compensation,5,"-16,074"
FS Practice,Other Compensation,6,"-15,416"
FS Practice,Other Compensation,7,"-24,988"
FS Practice,Other Compensation,8,"-26,886"
FS Practice,Other Compensation,9,"-28,086"
FS Practice,Other Compensation,10,"-56,904"
FS Practice,Salary,1,"196,615"
FS Practice,Salary,2,"197,613"
FS Practice,Salary,3,"196,488"
FS Practice,Salary,4,"201,602"
FS Practice,Salary,5,"204,022"
FS Practice,Salary,6,"192,067"
FS Practice,Salary,7,"178,202"
FS Practice,Salary,8,"165,921"
FS Practice,Salary,9,"156,307"
FS Practice,Salary,10,"241,518"
FS Practice,Salary,11,"145,471"
FS Practice,Salary,12,"165,430"
Further Practice,Bonus (Firm Perf.),1,"8,132"
Further Practice,Bonus (Firm Perf.),2,"12,314"
Further Practice,Bonus (Firm Perf.),3,"-31,172"
Further Practice,Bonus (Firm Perf.),4,"9,261"
Further Practice,Bonus (Firm Perf.),5,"11,422"
Further Practice,Bonus (Firm Perf.),6,"-18,432"
Further Practice,Bonus (Firm Perf.),7,"12,144"
Further Practice,Bonus (Firm Perf.),8,"9,032"
Further Practice,Bonus (Firm Perf.),9,"9,557"
Further Practice,Bonus (Firm Perf.),10,"12,455"
Further Practice,Bonus (Firm Perf.),11,"9,199"
Further Practice,Bonus (Firm Perf.),12,"34,065"
Further Practice,Bonus (Individual Perf.),1,"61,284"
Further Practice,Bonus (Individual Perf.),2,"110,505"
Further Practice,Bonus (Individual Perf.),3,"-50,316"
Further Practice,Bonus (Individual Perf.),4,"-13,342"
Further Practice,Bonus (Individual Perf.),5,"61,044"
Further Practice,Bonus (Individual Perf.),6,"78,956"
Further Practice,Bonus (Individual Perf.),7,"59,098"
Further Practice,Bonus (Individual Perf.),8,"66,437"
Further Practice,Bonus (Individual Perf.),9,"130,301"
Further Practice,Bonus (Individual Perf.),10,"75,612"
Further Practice,Bonus (Individual Perf.),11,"66,948"
Further Practice,Bonus (Individual Perf.),12,"6,511"
Further Practice,Bonus (Signing),1,194
Further Practice,Bonus (Signing),2,388
Further Practice,Bonus (Signing),3,291
Further Practice,Bonus (Signing),5,388
Further Practice,Bonus (Signing),6,194
Further Practice,Bonus (Signing),7,194
Further Practice,Bonus (Signing),8,194
Further Practice,Bonus (Signing),9,194
Further Practice,Bonus (Signing),10,194
Further Practice,Bonus (Signing),12,569
Further Practice,Fringe / Benefits,1,"93,800"
Further Practice,Fringe / Benefits,2,"98,994"
Further Practice,Fringe / Benefits,3,"74,946"
Further Practice,Fringe / Benefits,4,"66,644"
Further Practice,Fringe / Benefits,5,"79,500"
Further Practice,Fringe / Benefits,6,"73,626"
Further Practice,Fringe / Benefits,7,"74,997"
Further Practice,Fringe / Benefits,8,"66,109"
Further Practice,Fringe / Benefits,9,"136,541"
Further Practice,Fringe / Benefits,10,"62,313"
Further Practice,Fringe / Benefits,11,"61,485"
Further Practice,Fringe / Benefits,12,"70,681"
Further Practice,Other Compensation,3,"133,236"
Further Practice,Other Compensation,4,0
Further Practice,Other Compensation,5,"-19,567"
Further Practice,Other Compensation,6,"9,419"
Further Practice,Other Compensation,7,"-12,541"
Further Practice,Other Compensation,8,"-7,804"
Further Practice,Other Compensation,11,"93,759"
Further Practice,Other Compensation,12,"-3,948"
Further Practice,Salary,1,"226,925"
Further Practice,Salary,2,"259,186"
Further Practice,Salary,3,"264,328"
Further Practice,Salary,4,"234,140"
Further Practice,Salary,5,"354,214"
Further Practice,Salary,6,"215,533"
Further Practice,Salary,7,"228,778"
Further Practice,Salary,8,"217,463"
Further Practice,Salary,9,"214,940"
Further Practice,Salary,10,"226,059"
Further Practice,Salary,11,"206,704"
Further Practice,Salary,12,"252,698"
HLS Practice,Bonus (Firm Perf.),1,"2,736"
HLS Practice,Bonus (Firm Perf.),2,"-1,591"
HLS Practice,Bonus (Firm Perf.),3,"-4,390"
HLS Practice,Bonus (Firm Perf.),4,"2,641"
HLS Practice,Bonus (Firm Perf.),5,"2,659"
HLS Practice,Bonus (Firm Perf.),6,"2,910"
HLS Practice,Bonus (Firm Perf.),7,"2,633"
HLS Practice,Bonus (Firm Perf.),8,"2,693"
HLS Practice,Bonus (Firm Perf.),9,"2,643"
HLS Practice,Bonus (Firm Perf.),10,"2,666"
HLS Practice,Bonus (Firm Perf.),11,"7,136"
HLS Practice,Bonus (Firm Perf.),12,"4,698"
HLS Practice,Bonus (Individual Perf.),1,"22,957"
HLS Practice,Bonus (Individual Perf.),2,"-13,328"
HLS Practice,Bonus (Individual Perf.),3,"12,995"
HLS Practice,Bonus (Individual Perf.),4,"23,926"
HLS Practice,Bonus (Individual Perf.),5,"24,317"
HLS Practice,Bonus (Individual Perf.),6,"26,829"
HLS Practice,Bonus (Individual Perf.),7,"21,088"
HLS Practice,Bonus (Individual Perf.),8,"32,933"
HLS Practice,Bonus (Individual Perf.),9,"22,535"
HLS Practice,Bonus (Individual Perf.),10,"24,588"
HLS Practice,Bonus (Individual Perf.),11,"22,649"
HLS Practice,Bonus (Individual Perf.),12,"70,360"
HLS Practice,Bonus (Signing),3,145
HLS Practice,Bonus (Signing),5,194
HLS Practice,Bonus (Signing),6,97
HLS Practice,Bonus (Signing),7,97
HLS Practice,Bonus (Signing),8,97
HLS Practice,Bonus (Signing),9,97
HLS Practice,Bonus (Signing),10,97
HLS Practice,Bonus (Signing),12,379
HLS Practice,Fringe / Benefits,1,"50,711"
HLS Practice,Fringe / Benefits,2,"24,182"
HLS Practice,Fringe / Benefits,3,"38,072"
HLS Practice,Fringe / Benefits,4,"38,692"
HLS Practice,Fringe / Benefits,5,"34,962"
HLS Practice,Fringe / Benefits,6,"39,335"
HLS Practice,Fringe / Benefits,7,"42,643"
HLS Practice,Fringe / Benefits,8,"3,819"
HLS Practice,Fringe / Benefits,9,"36,233"
HLS Practice,Fringe / Benefits,10,"32,762"
HLS Practice,Fringe / Benefits,11,"37,109"
HLS Practice,Fringe / Benefits,12,"14,032"
HLS Practice,Other Compensation,3,"48,729"
HLS Practice,Other Compensation,4,0
HLS Practice,Other Compensation,5,-14
