Region ,Sub-Region,Cluster ,Office,Service Line Name  (group),Function,Sub Function,Cost Center Code,Cost Center Name,Case Group,Case Group Name,Case Code,Case Name,Cost Type,GL Account Name,GL Account,1,2,3,4,5,6,7,8,9,10,11,12
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7310,Further Practice,73100201,DE&I Practice - General,,,Compensation,Vacation Expense,61107000,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7310,Further Practice,73100201,DE&I Practice - General,,,Compensation,Wages,61010000,"26,037","26,037","26,037","27,652","27,652","27,652","27,652","27,652","27,652","27,652","27,652","27,652"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7310,Further Practice,73100201,DE&I Practice - General,,,Programs,Other Operating Expenses,66000000,"15,840","15,840","15,840","15,840","15,840","15,840","15,840","15,840","15,840","15,840","17,820","21,780"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500201,Healthcare Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"25,024","25,024","25,024","26,575","26,575","26,575","26,575","26,575","26,575","26,575","26,575","26,575"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500201,Healthcare Practice - General,,,Compensation,Bonus - Office Performance,61023000,"3,444","3,444","3,444","3,657","3,657","3,657","3,657","3,657","3,657","3,657","3,657","3,657"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500201,Healthcare Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,"43,914","43,914","43,914","46,637","46,637","46,637","46,637","46,637","46,637","46,637","46,637","46,637"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500201,Healthcare Practice - General,,,Compensation,Vacation Expense,61107000,-184,-184,-184,-184,-184,-184,-184,-184,-184,-184,-184,-184
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500201,Healthcare Practice - General,,,Compensation,Wages,61010000,"124,543","124,543","124,543","132,265","132,265","132,265","132,265","132,265","132,265","132,265","132,265","132,265"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500201,Healthcare Practice - General,,,Programs,Other Operating Expenses,66000000,"22,400","22,400","22,400","22,400","22,400","22,400","22,400","22,400","22,400","22,400","25,200","30,800"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500203,Healthcare Practice - DBs,,,Programs,Other Operating Expenses,66000000,"214,860","214,860","214,860","214,860","214,860","214,860","214,860","214,860","214,860","214,860","214,860","214,860"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500204,Healthcare Practice - BCN,,,Programs,Other Operating Expenses,66000000,"22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,M&A Practice (L2),7450,M&A Practice,74500201,M&A Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"43,058","43,058","43,058","45,728","45,728","45,728","45,728","45,728","45,728","45,728","45,728","45,728"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,M&A Practice (L2),7450,M&A Practice,74500201,M&A Practice - General,,,Compensation,Bonus - Office Performance,61023000,"7,775","7,775","7,775","8,257","8,257","8,257","8,257","8,257","8,257","8,257","8,257","8,257"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,M&A Practice (L2),7450,M&A Practice,74500201,M&A Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,"55,267","55,267","55,267","58,696","58,696","58,696","58,696","58,696","58,696","58,696","58,696","58,696"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,M&A Practice (L2),7450,M&A Practice,74500201,M&A Practice - General,,,Compensation,Vacation Expense,61107000,"11,379","11,379","11,379","11,379","11,379","11,379","11,379","11,379","11,379","11,379","11,379","11,379"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,M&A Practice (L2),7450,M&A Practice,74500201,M&A Practice - General,,,Compensation,Wages,61010000,"141,736","141,736","141,736","150,532","150,532","150,532","150,532","150,532","150,532","150,532","150,532","150,532"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,M&A Practice (L2),7450,M&A Practice,74500201,M&A Practice - General,,,Programs,Other Operating Expenses,66000000,"8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","9,000","11,000"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,M&A Practice (L2),7450,M&A Practice,74500204,M&A Practice - BCN,,,Programs,Other Operating Expenses,66000000,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Organization Practice (L2),7400,Organization Practice,74000201,Organization Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"39,792","39,792","39,792","42,259","42,259","42,259","42,259","42,259","42,259","42,259","42,259","42,259"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Organization Practice (L2),7400,Organization Practice,74000201,Organization Practice - General,,,Compensation,Bonus - Office Performance,61023000,"7,407","7,407","7,407","7,866","7,866","7,866","7,866","7,866","7,866","7,866","7,866","7,866"
